"hotel id",hotel,oras,"oras ales",mappedLocations,"potrivire perfecta","protrivire partiala","potrivire primul cuvant",mapare,potrivire
OT-PROP-A-1008011,"Pantelis Studios",Skopelos,"Skopelos Island","Agnontas; Agnontas; Ditropos; Glossa; Glossa; Kalogiros; Kaloyiros; Kima; Loutraki; Machalas; Myloi; Neo Klima; Palio Klima; Panormos; Skopelos Island; Skopelos Town; Stagylos",,"Skopelos IslandSkopelos Town",,,partiala
OT-PROP-A-1008076,"White Rock Milos Suites",Milos,"Milos Island","Adamas; Agia Eirini; Agia Kiriaki; Agii Anargyri; Agios Gerasimos; Agios Konstantinos; Areti; Cyclades; Empourios; Firopotamos; Flakopi; Fourkovouni; Kaminia; Kanava; Karodromos; Kastron; Katifora; Kato Komia; Katsaronas; Kipos; Klima; Klimatovouni; Komia; Korfos; Ksylokeratia; Limni; Mandrakia; Mavromouri; Mikri Schinopi; Milos Island; Mitikas; Myloi; Neochorion; Pachaina; Paleochori; Parasporos; Pelekouda; Pera Triovasalos; Perivolia; Perkarika; Piso Plaka; Plaka; Plakes; Plathiena; Pollonia; Provatas; Psathadika; Ralakion Chalakos; Schinopi; Triovasalos; Tripiti; Vatos; Voudia; Vourla; Zefiria",,"Milos Island",,,partiala
OT-PROP-A-1008109,"1812 Caves N Mansion",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-10085,"Domes Noruz Kassandra","Kassandra, Halkidiki",Kassandra,"Afitos; Aghios Nikolaos Paliouriou; Agia Paraskevi; Boulamatsia; Chalkidiki; Elani; Evdos; Fourka; Fourka; Frama; Fylakes Karakallou; Fylakes Kassandras; Fylakes Ksenofontos; Hanioti; Kalandra; Kalithea; Kallithea; Kaloutsikos; Kassandra; Kassandra; Kassandra Palace; Kassandria; Kassandrino; Khaniotis; Kriopigi; Lefkes; Lefki Peristera; Loutra; Moles Kalyves; Nea Fokia; Nea Potidea; Nea Potidhaia; Nea Skioni; Paliouri; Panorama; Pefkohori; Pirgos Sani; Polichrono; Possidi; Sani; Siviri; Solina; Xina",,"KassandraKassandra",,,partiala
OT-PROP-A-100855,"The Grove Seaside Hotel",Nafplio,Nafplion,"Agia Paraskevi; Agia Triada; Agios Adrianos; Amarianos; Amigdalitsa; Anifi; Ano Karnezeika; Arachneo; Argolida; Argoliko; Aria; Arkadiko; Asini; Asprovrysi; Assini Beach; Dhendra; Drepano; Exostis; Gatzia; Ireon; Iria; Kallithea; Kanapitsa; Kandia; Kapodistrias; Karnezeika; Katsigianneika; Lefkakia; Manesis; Marathea; Metochi; Metochi; Midea; Moni Agiou Theodosiou Tou Neou; Moni Karakala; Nafplion; Nea Marathea; Nea Tiryns; Neo Roino; Paleochora; Panagia; Panaritis; Paralia Irion; Peloponnese; Platanitis; Poulakida; Profitis Ilias; Pyrgiotika; Stavropodi; Tiryns; Tolo; Tsapralaiika; Vivari; Xidhaiika",,Nafplion,,,partiala
OT-PROP-A-10086,"Grecotel Casa Paradiso","Kos Island, Dodecanese Islands","Kos Island","Agios Dimitrios; Agios Fokas; Agios Georgios; Agios Stefanos; Amaniou; Antimachia; Asfendiou; Asomatos; Dodecanese; Elaionas; Kaka Pinari; Kamari; Kampos; Kardamena; Kefalos; Kermetes; Kos Airport; Kos Island; Kos Town; Lagoudi Zia; Lampi; Linopotis; Marmari; Mastichari; Palio Pylion; Paradeisi; Platani; Platanion; Psalidi; Pyli; Tigaki; Tigkakion; Ziparion",,"Kos IslandDodecanese",,,partiala
OT-PROP-A-100871,"Galatia Villas",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-100878,"Alizea Villas  & Suites",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-100879,"Evgenia Villas & Suites by Calm Collection",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-100885,"Adamant Suites","Fira, Santorini",Firá,"Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,,,Firá,mapare
OT-PROP-A-100898,"Above Blue Suites",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-100899,"Meli Meli",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-1009,"Paloma Garden","Herakleion, Crete Island","Crete Island","Agia Pelagia; Agia Varvara; Agios Ioannis Theologos; Agkisaras; Agno; Agriana; Aitania; Analipsi; Anissaras; Ano Karouzana; Anopolis; Aposelemis; Aski; Avdhou; Chatzana; Chersonissos - Crete; Crete Island; Drapanos; Elia; Episkopi; Galifa; Galipe; Goniai; Gournes; Gouves; Haraso; Heraklion Region - Crete; Kainouryion Khorion; Kalivomouris; Kalochori; Karteros; Kartsinianos; Kato Gouves; Kato Karouzana; Kato Vathia; Kera; Khokhlakiai; Kokkini Hani; Koxari; Krasi; Kutulufari; Lagos; Malia; Mokhos; Pano Vathia; Pelekita; Piskopiano; Potamiai; Pyrgos Vrachasiou; Sfendili; Sgourokefali; Sissi; Skopela; Skoteinon; Stalida; Stamni; Stavromenos; Vathianos Kambos; Voros; Vrachokipos",,"Crete Island",,,partiala
OT-PROP-A-100900,"Phaos Santorini Suites",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-100901,Ilioperato,Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-100924,"Lindian Myth",Rhodes,"Rhodes Island","Afandou; Afantou; Agios Isidoros; Apolakkia; Apollona; Archangelos; Archangelos; Archipoli; Arnitha; Asklipio; Charaki; Dodecanese; Eleousa; Emponas; Epano Kalamonas; Faliraki; Fanes; Gennadi; Haraki; Haraki; Ialysos; Ialyssos; Ialyssos Rhodes; Istrios; Ixia; Ixos; Kalathos; Kalavarda; Kalithea; Kalithies; Kallithea; Kameiros Skala; Kamiros; Kamiros Skala; Kapion; Kattavia; Kiotari; Kolimbia; Kolymbia; Koskinou; Koskinou; Kremasti; Kritinia; Lachania; Lachania; Ladiko; Laerma; Lardos; Lardos; Lindos; Malon; Malonas; Mandriko; Maritsa; Masari; Mesanagros; Monolithos; Nanoi; Niokhori; Paradeisi; Paradeision; Paradisi; Pastida; Pastida; Pefki; Pefkos; Petaloudes; Pilona; Pilonas; Platania; Plimmiri; Plimmyri; Profilia; Psinthos; Psithos; Rhodes / Maritsa; Rhodes International Airport; Rhodes Island; Rhodes Port; Rhodes Town; Salakos; Siana; Skala Kamirou; Soroni; Stegna; Stegna; Theologos; Tholos (Rhodos); Vati; Vlicha",,"Rhodes IslandRhodes / MaritsaRhodes International AirportIalyssos RhodesRhodes PortRhodes Town",,,partiala
OT-PROP-A-100927,"Stratos Apartments & Studios",Paros,"Paros Island","Agia Irini; Aliki; Aneratza; Angeria; Chrissi Akti; Cyclades; Dhragoulas; Drios; Ekatondapiliani; Episkopiana; Kamari; Kolibithres; Kolympithres; Kostos; Lefkes; Livadia; Logaras; Marathi; Marmara; Marpissa; Naousa; Naoussa; Nea Cryssi Akti; New Golden Beach; Paraspori; Parasporos; Parikia; Paros Island; Paros National Airport; Piso Livadi; Pounta; Santa Maria; Sarakiniko",,"Paros IslandParos National Airport",,,partiala
OT-PROP-A-100937,"Anemones Studios",Paros,"Paros Island","Agia Irini; Aliki; Aneratza; Angeria; Chrissi Akti; Cyclades; Dhragoulas; Drios; Ekatondapiliani; Episkopiana; Kamari; Kolibithres; Kolympithres; Kostos; Lefkes; Livadia; Logaras; Marathi; Marmara; Marpissa; Naousa; Naoussa; Nea Cryssi Akti; New Golden Beach; Paraspori; Parasporos; Parikia; Paros Island; Paros National Airport; Piso Livadi; Pounta; Santa Maria; Sarakiniko",,"Paros IslandParos National Airport",,,partiala
OT-PROP-A-100939,"Hotel Senia Suites & Apartments",Paros,"Paros Island","Agia Irini; Aliki; Aneratza; Angeria; Chrissi Akti; Cyclades; Dhragoulas; Drios; Ekatondapiliani; Episkopiana; Kamari; Kolibithres; Kolympithres; Kostos; Lefkes; Livadia; Logaras; Marathi; Marmara; Marpissa; Naousa; Naoussa; Nea Cryssi Akti; New Golden Beach; Paraspori; Parasporos; Parikia; Paros Island; Paros National Airport; Piso Livadi; Pounta; Santa Maria; Sarakiniko",,"Paros IslandParos National Airport",,,partiala
OT-PROP-A-100940,"Swiss Home Hotel",Paros,"Paros Island","Agia Irini; Aliki; Aneratza; Angeria; Chrissi Akti; Cyclades; Dhragoulas; Drios; Ekatondapiliani; Episkopiana; Kamari; Kolibithres; Kolympithres; Kostos; Lefkes; Livadia; Logaras; Marathi; Marmara; Marpissa; Naousa; Naoussa; Nea Cryssi Akti; New Golden Beach; Paraspori; Parasporos; Parikia; Paros Island; Paros National Airport; Piso Livadi; Pounta; Santa Maria; Sarakiniko",,"Paros IslandParos National Airport",,,partiala
OT-PROP-A-100953,"Alexander's Suites",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
